[0;32m[  6128][I][YASOLR][1][io] Publishing config to MQTT...[0m
[0;36m[ 47020][D][YASOLR][1][io] MQTT in 166023 us[0m
PID(715.38)=-1354.74 (pTerm=-429.23, iTerm=0.00, dTerm=-925.52)
Max output: 2303.000488, assigned: 0.000000, used: 0.000000
PID(617.30)=-291.92 (pTerm=-370.38, iTerm=0.00, dTerm=78.46)
Max output: 2279.550293, assigned: 0.000000, used: 0.000000
PID(-921.95)=1784.57 (pTerm=553.17, iTerm=0.00, dTerm=1231.40)
Max output: 2279.550293, assigned: 1784.570068, used: 1784.116943
PID(-1083.49)=779.33 (pTerm=650.09, iTerm=0.00, dTerm=129.23)
Max output: 2279.550293, assigned: 2076.727783, used: 2076.366943
PID(85.43)=-986.40 (pTerm=-51.26, iTerm=0.00, dTerm=-935.14)
Max output: 2279.550293, assigned: 311.003540, used: 310.620056
PID(700.88)=-912.89 (pTerm=-420.53, iTerm=0.00, dTerm=-492.36)
Max output: 2322.633789, assigned: 33.211304, used: 32.896889
PID(-298.98)=979.27 (pTerm=179.39, iTerm=0.00, dTerm=799.89)
Max output: 2322.633789, assigned: 1925.372559, used: 1925.035156
PID(-1030.10)=1202.96 (pTerm=618.06, iTerm=0.00, dTerm=584.90)
Max output: 2322.633789, assigned: 2149.056641, used: 2148.507080
PID(-533.53)=-77.14 (pTerm=320.12, iTerm=0.00, dTerm=-397.26)
Max output: 2322.633789, assigned: 868.959595, used: 868.931641
PID(644.47)=-1329.09 (pTerm=-386.68, iTerm=0.00, dTerm=-942.40)
Max output: 2301.041748, assigned: 0.000000, used: 0.000000
PID(-129.89)=697.42 (pTerm=77.93, iTerm=0.00, dTerm=619.49)
Max output: 2301.041748, assigned: 697.422241, used: 697.336487
PID(-929.57)=1197.48 (pTerm=557.74, iTerm=0.00, dTerm=639.74)
Max output: 2301.041748, assigned: 2221.084473, used: 2220.687988
PID(-638.20)=149.83 (pTerm=382.92, iTerm=0.00, dTerm=-233.09)
Max output: 2301.041748, assigned: 1173.428467, used: 1173.278442
PID(212.71)=-808.36 (pTerm=-127.63, iTerm=0.00, dTerm=-680.73)
Max output: 2318.700439, assigned: 81.739868, used: 81.536720
PID(531.59)=-574.06 (pTerm=-318.96, iTerm=0.00, dTerm=-255.10)
Max output: 2318.700439, assigned: 316.041870, used: 315.954803
[0;36m[ 52029][D][YASOLR][1][io] MQTT in 110277 us[0m
PID(-391.83)=973.84 (pTerm=235.10, iTerm=0.00, dTerm=738.74)
Max output: 2318.700439, assigned: 1863.940918, used: 1863.453735
PID(-958.17)=1027.97 (pTerm=574.90, iTerm=0.00, dTerm=453.07)
Max output: 2318.700439, assigned: 1918.073730, used: 1917.811646
PID(-633.88)=120.90 (pTerm=380.33, iTerm=0.00, dTerm=-259.43)
Max output: 2328.539795, assigned: 978.898560, used: 978.612244
PID(582.93)=-1323.20 (pTerm=-349.76, iTerm=0.00, dTerm=-973.45)
Max output: 2328.539795, assigned: 0.000000, used: 0.000000
[0;36m[ 52976][D][YASOLR][1][core] Profiler in 209397 us[0m
PID(-63.34)=555.02 (pTerm=38.01, iTerm=0.00, dTerm=517.01)
Max output: 2328.539795, assigned: 555.019409, used: 554.982849
